time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,force_cmd_N
5.718,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0035274933738149894,0.08942985343272045,0.0
5.719,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0066481970776508005,0.033310433375309305,0.0
5.72,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0014451367396779043,0.07900343190920915,0.0
5.721,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0007970941674637417,0.10431966584186408,0.0
5.722,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.003194891255657205,0.07528582095559595,0.0
5.723,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0027712207761764213,0.046870916658633,0.0
5.724,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004338759529949694,0.043768086316132306,0.0
5.725,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0030394356121977765,0.0378736640788767,0.0
5.726,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0007579877453928631,0.0383389331239337,0.0
5.727,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0005254854076061411,0.04610657228253267,0.0
5.728,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00026560864986331303,0.040378027723494234,0.0
5.729,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.002529089811081503,0.03906595428826536,0.0
5.73,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00452949379345037,0.07199990968984399,0.0
5.731,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0066602631021718045,0.02122974976020721,0.0
5.732,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0001975386677558457,0.07210277356417397,0.0
5.733,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.002786874219976779,0.07123212372158563,0.0
5.734,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0026782432640069243,0.010616059113790627,0.0
5.735,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.002084957635445432,0.08451806306580162,0.0
5.736,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.004742481609101717,0.029511719740742865,0.0
5.737,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0016493396877209597,0.04011204211358986,0.0
5.738,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0021480355407643183,0.04613534785372405,0.0
5.739,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0015382263638398946,0.06278782597148617,0.0
5.74,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0018748322221493927,0.03811343940427182,0.0
5.741,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00961303742382571,0.03866796994714622,0.0
