"time","x_m","x_dot_mps","theta_rad","theta_dot_radps","force_cmd_N"
6.71,0.20861411355075676,-0.04238222404842343,0.039927843819862203,-0.03838554368118228,0.7999680357851071
6.72,0.20823834157612744,-0.033684295269180216,0.03950929371567157,-0.04462862121141193,0.7757465522565861
6.73,0.2079481304125937,-0.02524482552940284,0.03903067570115951,-0.05044382055141792,0.7512603157882314
6.74,0.20774087676633682,-0.01706709121309582,0.03849620413508154,-0.05584291916763155,0.7265836667984003
6.75,0.20761394902004146,-0.009153570223809393,0.03790997341902935,-0.06083807834174901,0.7017852975632399
6.76,0.20756469490038545,-0.0015059991139082303,0.03727595461859893,-0.06544176099141347,0.6769286328693651
6.77,0.20759044859433867,0.005874573396040626,0.036597992859162654,-0.06966665794047795,0.6520721796841444
6.78,0.2076885373487822,0.012987736223720727,0.03587980541634478,-0.0735256218171701,0.627269849092241
6.79,0.20785628758528324,0.01983366880306662,0.0351249804290307,-0.07703160784524977,0.6025712533580947
6.8,0.20809103055946776,0.02641309680572994,0.03433697616965852,-0.08019762087019792,0.5780219806315152
6.81,0.20839010759227972,0.032727250501017296,0.03351912081273913,-0.08303666803070003,0.5536638495125441
6.82,0.2087508748984801,0.038777825569640115,0.032674612648109565,-0.08556171654618393,0.5295351454276158
6.83,0.20917070803599327,0.04456694620452678,0.031806520690416715,-0.08778565614482309,0.505670840537797
6.84,0.20964700599812805,0.05009713034772849,0.030917785640817277,-0.08972126570402207,0.4821027986975013
6.85,0.21017719496927084,0.05537125692636417,0.03001122116092374,-0.0913811837176648,0.45885996680544405
6.86,0.2107587317633448,0.06039253496282924,0.029089515422672678,-0.09277788224196053,0.43596855373534016
6.87,0.21138910696314261,0.06516447444534212,0.028155232901086562,-0.09392364400512522,0.413452197899411
6.88,0.21206584777755538,0.06969085885450317,0.02721081637988157,-0.09483054239588336,0.39133212438060205
6.89,0.21278652063272382,0.07397571925005166,0.02625858914257544,-0.09551042407230186,0.3696272924673156
6.9,0.2135487335122229,0.07802330982956684,0.02530075732420193,-0.09597489395616193,0.34835453433549635
6.91,0.21435013806054515,0.0818380848775912,0.0243394124009678,-0.09623530239927311,0.32752868554536096
6.92,0.21518843146336758,0.08542467702966368,0.023376533797218026,-0.09630273432713563,0.3071627079523944
6.93,0.21606135811736063,0.08878787678113176,0.022413991590925504,-0.09618800018242342,0.2872678055731397
6.94,0.21696671110162458,0.09193261317544192,0.021453549300610924,-0.09590162850611943,0.26785353389455846
6.95,0.2179023334622094,0.09486393561096118,0.020496866738143018,-0.09545386000798621,0.2489279030704239
6.96,0.21886611932058672,0.09758699670931474,0.019545502913282366,-0.0948546429905757,0.23049747540833998
6.97,0.2198560148163919,0.10010703619179294,0.018600918977126936,-0.09411363000232167,0.21256745751582518
6.98,0.22087001889423902,0.10242936571362438,0.017664481192804428,-0.09324017560555285,0.19514178744287225
6.99,0.2219061839439249,0.10455935460887555,0.01673746392284597,-0.09224333515462722,0.17822321713076494
7.0,0.22296261630288072,0.1065024165014498,0.015821052623676203,-0.09113186448792328,0.16181339045241305
7.01,0.22403747662930043,0.1082639967401511,0.014916346838573857,-0.08991422044521696,0.1459129171074638
7.02,0.22512898015396507,0.10984956061807472,0.014024363181301975,-0.08859856212910276,0.13052144261571197
7.03,0.22623539681839813,0.11126458233870964,0.013146038303383997,-0.0871927528356517,0.115637714634512
7.04,0.22735505130662165,0.1125145346931039,0.012282231838716464,-0.08570436258549452,0.10125964580979474
7.05,0.22848632297743568,0.11360487941427042,0.011433729319866652,-0.08414067119203014,0.08738437335557592
7.06,0.22962764570381589,0.11454105817671177,0.010601245061008138,-0.08250867180853008,0.0740083155434732
7.07,0.23077750762571142,0.11532848421052821,0.009785425003003594,-0.08081507490058047,0.06112722527148673
7.08,0.2319344508222272,0.11597253450105564,0.008986849516655755,-0.07906631259461089,0.048736240869963865
7.09,0.2330970709088936,0.11647854254636848,0.008206036160617842,-0.07726854335723192,0.036829934292334165
7.1,0.23426401656545523,0.11685179164628332,0.007443442390887139,-0.07542765696377335,0.025402356828532646
7.11,0.23543398899935528,0.11709750869772075,0.006699468219202566,-0.07354927971780281,0.014447082470145034
7.12,0.23660574134984558,0.11722085847243185,0.005974458818031947,-0.07163877988653672,0.0039572490480628275
7.13,0.23777807803741977,0.11722693835417629,0.005268707070169418,-0.06970127331994921,-0.006074402744265406
7.14,0.23894985406304192,0.11712077351345718,0.004582456061270441,-0.06774162922406042,-0.015655492336016152
7.15,0.2401199742614313,0.116907312498879,0.003915901513933363,-0.06576447606135809,-0.02479396417327573
7.16,0.24128739251245807,0.1165914232251007,0.003269194162194182,-0.06377420755359266,-0.03349805442928977
7.17,0.24245111091450935,0.11617788933821266,0.0026424420655369965,-0.061774988764298905,-0.041776259443286
7.18,0.24361017892349948,0.11567140694017693,0.0020357128617382713,-0.05977076224034928,-0.04963730580580705
7.19,0.24476369246101645,0.11507658165473583,0.0014490359580599074,-0.057765254193648405,-0.05709012201352959
7.2,0.2459107929949264,0.11439792601792105,0.0008824046604857741,-0.05576198070574377,-0.06414381162110327
