time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,theta_hat_rad,bias_hat_rps,force_cmd_N,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,theta_dot_hat_rps
15.803,stage1,0.0,True,False,0.2,1.0650240920501939,-17.231987897776325,-17.53551691381235,-0.3170038195637854,-11.206824349052402,-11.563993042875083,12.665042252170698,1.6180584988520437,12.680261163895327,12.997264983459113
15.804,stage1,0.0,True,False,0.2,1.0534600990073253,-17.21932285552416,-17.529199264321136,-0.3167638195637856,-11.282687862071311,-11.634664792498986,12.68259641213703,1.6299214822874006,12.73466099532353,13.051424814887316
15.805,stage1,0.0,True,False,0.2,1.0418254342148328,-17.20664025911203,-17.522796565558025,-0.3165238195637857,-11.357034104829843,-11.703676040246066,12.697983677566661,1.6404915953732768,12.70892305293027,13.025446872494056
15.806,stage1,0.0,True,False,0.2,1.0301217581745932,-17.193942275434473,-17.516235832736836,-0.3162838195637859,-11.429893422733207,-11.771023147976553,12.711312541920186,1.6547959970403987,12.756860252715555,13.07314407227934
15.807,stage1,0.0,True,False,0.2,1.0183507350266023,-17.18123096289254,-17.509471017769467,-0.3160438195637856,-11.501295554278629,-11.83670234859022,12.722692752312485,1.6715608371699027,12.795754898249998,13.111798717813784
15.808,stage1,0.0,True,False,0.2,1.0065140326780186,-17.168508270140233,-17.502740413334553,-0.3158038195637857,-11.571269643193018,-11.900709732934983,12.732235240012477,1.67661512551512,12.763874977991783,13.07967879755557
15.809,stage1,0.0,True,False,0.2,0.9946133229450903,-17.155776034900228,-17.495846368778373,-0.3155638195637859,-11.63984425032912,-11.963041238023765,12.74005205377951,1.6915177360133526,12.742478429437762,13.058042249001549
15.81,stage1,0.0,True,False,0.2,0.9826502817070519,-17.14303598284643,-17.488767671425848,-0.3153238195637856,-11.70704736532262,-12.023692636546528,12.746256295921594,1.7076444203862629,12.804902156176244,13.120225975740029
15.811,stage1,0.0,True,False,0.2,0.970626589070512,-17.130289726550515,-17.481491113376872,-0.3150838195637857,-11.772906418016131,-12.082659527663388,12.750962060955178,1.7246161525618326,12.811107322114074,13.12619114167786
15.812,stage1,0.0,True,False,0.2,0.9585439295428553,-17.117538764489566,-17.474184366073626,-0.3148438195637859,-11.837448289655773,-12.13993732906048,12.754284376741335,1.7334021733243574,12.78595221065806,13.100796030221845
15.813,stage1,0.0,True,False,0.2,0.9464039922137799,-17.10478448011281,-17.466741154411544,-0.3146038195637856,-11.900699323862735,-12.195521270243644,12.756339147969927,1.747532138568772,12.806675723742586,13.121279543306372
15.814,stage1,0.0,True,False,0.2,0.934208470943543,-17.092028140964846,-17.45918895260344,-0.31436381956378573,-11.962685337385446,-12.24940638704457,12.757243101862091,1.7604248575325592,12.814763523081972,13.129127342645758
15.815,stage1,0.0,True,False,0.2,0.9219590645565052,-17.07927089786299,-17.45168130661499,-0.3141238195637859,-12.023431630637704,-12.301587517310779,12.757113735960774,1.7657492683581246,12.827753495030837,13.141877314594623
15.816,stage1,0.0,True,False,0.2,0.9096574770391794,-17.066513784127014,-17.444095645048243,-0.3138838195637856,-12.082962998025023,-12.352059297745376,12.756069267879758,1.7771576932607118,12.828287013418963,13.14217083298275
15.817,stage1,0.0,True,False,0.2,0.8973054177414409,-17.05375771485914,-17.436246459439968,-0.31364381956378573,-12.14130373806449,-12.400816161862819,12.75422858688349,1.7979195569045814,12.78524818702296,13.098892006586746
15.818,stage1,0.0,True,False,0.2,0.884904601579585,-17.041003486272267,-17.428255135514284,-0.3134038195637859,-12.19847766330317,-12.447852339024623,12.751711207172448,1.8128756583831773,12.843235394128248,13.156639213692035
